# Generated by gen_sweep_list.py — read-only RM control commands.
# source table: tools/effectmap/out/ctrl_table.json
# admitted 327 of 2382
# format: <cmd_hex> <paramsSize>
0x00800294 4    # NV0080_CTRL_CMD_GPU_GET_BRAND_CAPS
0x00800298 8    # NV0080_CTRL_CMD_GPU_GET_VGPU_HETEROGENEOUS_MODE
0x00801102 16    # NV0080_CTRL_CMD_GR_GET_CAPS
0x00801104 16    # NV0080_CTRL_CMD_GR_GET_INFO
0x00801107 32    # NV0080_CTRL_CMD_GR_GET_TPC_PARTITION_MODE
0x00801109 48    # NV0080_CTRL_CMD_GR_GET_CAPS_V2
0x00801110 528    # NV0080_CTRL_CMD_GR_GET_INFO_V2
0x00801301 16    # NV0080_CTRL_CMD_FB_GET_CAPS
0x00801306 80    # NV0080_CTRL_CMD_FB_GET_COMPBIT_STORE_INFO
0x00801307 3    # NV0080_CTRL_CMD_FB_GET_CAPS_V2
0x00801401 16    # NV0080_CTRL_CMD_HOST_GET_CAPS
0x00801402 3    # NV0080_CTRL_CMD_HOST_GET_CAPS_V2
0x00801701 16    # NV0080_CTRL_CMD_FIFO_GET_CAPS
0x00801707 12    # NV0080_CTRL_CMD_FIFO_GET_ENGINE_CONTEXT_PROPERTIES
0x0080170D 24    # NV0080_CTRL_CMD_FIFO_GET_CHANNELLIST
0x0080170E 12    # NV0080_CTRL_CMD_FIFO_GET_LATENCY_BUFFER_SIZE
0x00801713 2    # NV0080_CTRL_CMD_FIFO_GET_CAPS_V2
0x00801801 184    # NV0080_CTRL_CMD_DMA_GET_PTE_INFO
0x00801806 192    # NV0080_CTRL_CMD_DMA_ADV_SCHED_GET_VA_CAPS
0x00801809 208    # NV0080_CTRL_CMD_DMA_GET_PDE_INFO
0x0080180D 12    # NV0080_CTRL_CMD_DMA_GET_CAPS
0x00801B02 12    # NV0080_CTRL_CMD_NVENC_GET_CAPS_V2
0x00801C02 12    # NV0080_CTRL_CMD_NVDEC_GET_CAPS_V2
0x00801E02 32    # NV0080_CTRL_CMD_OS_UNIX_VT_GET_FB_INFO
0x00801F02 16    # NV0080_CTRL_CMD_NVJPG_GET_CAPS_V2
0x20800101 1    # NV2080_CTRL_CMD_GPU_GET_INFO
0x20800102 580    # NV2080_CTRL_CMD_GPU_GET_INFO_V2
0x20800110 68    # NV2080_CTRL_CMD_GPU_GET_NAME_STRING
0x20800111 64    # NV2080_CTRL_CMD_GPU_GET_SHORT_NAME_STRING
0x20800118 4    # NV2080_CTRL_CMD_GPU_GET_SDM
0x20800119 4    # NV2080_CTRL_CMD_GPU_GET_SIMULATION_INFO
0x20800123 16    # NV2080_CTRL_CMD_GPU_GET_ENGINES
0x20800124 16    # NV2080_CTRL_CMD_GPU_GET_ENGINE_CLASSLIST
0x20800125 12    # NV2080_CTRL_CMD_GPU_GET_ENGINE_FAULT_INFO
0x2080012F 1664    # NV2080_CTRL_CMD_GPU_QUERY_ECC_STATUS
0x20800131 4    # NV2080_CTRL_CMD_GPU_QUERY_COMPUTE_MODE_RULES
0x20800133 8    # NV2080_CTRL_CMD_GPU_QUERY_ECC_CONFIGURATION
0x20800137 4    # NV2080_CTRL_CMD_GPU_GET_FERMI_GPC_INFO
0x20800138 8    # NV2080_CTRL_CMD_GPU_GET_FERMI_TPC_INFO
0x20800139 8    # NV2080_CTRL_CMD_GPU_GET_FERMI_ZCULL_INFO
0x2080013F 136    # NV2080_CTRL_CMD_GPU_GET_OEM_BOARD_INFO
0x20800142 4    # NV2080_CTRL_CMD_GPU_GET_ID
0x20800147 144    # NV2080_CTRL_CMD_GPU_GET_ENGINE_PARTNERLIST
0x2080014A 268    # NV2080_CTRL_CMD_GPU_GET_GID_INFO
0x2080014B 5    # NV2080_CTRL_CMD_GPU_GET_INFOROM_OBJECT_VERSION
0x2080014D 8    # NV2080_CTRL_CMD_GPU_GET_IP_VERSION
0x20800153 8    # NV2080_CTRL_CMD_GPU_QUERY_ILLUM_SUPPORT
0x20800154 8    # NV2080_CTRL_CMD_GPU_GET_ILLUM
0x20800156 16    # NV2080_CTRL_CMD_GPU_GET_INFOROM_IMAGE_VERSION
0x2080015A 1204    # NV2080_CTRL_CMD_GPU_GET_PHYSICAL_BRIDGE_VERSION_INFO
0x2080015B 2004    # NV2080_CTRL_CMD_GPU_GET_ALL_BRIDGES_UPSTREAM_OF_GPU
0x2080015F 24    # NV2080_CTRL_CMD_GPU_QUERY_SCRUBBER_STATUS
0x20800160 16    # NV2080_CTRL_CMD_GPU_GET_VPR_CAPS
0x20800168 56    # NV2080_CTRL_CMD_GPU_GET_PES_INFO
0x20800169 504    # NV2080_CTRL_CMD_GPU_GET_OEM_INFO
0x2080016B 24    # NV2080_CTRL_CMD_GPU_GET_VPR_INFO
0x2080016C 8    # NV2080_CTRL_CMD_GPU_GET_ENCODER_CAPACITY
0x20800170 340    # NV2080_CTRL_CMD_GPU_GET_ENGINES_V2
0x20800173 12    # NV2080_CTRL_CMD_GPU_QUERY_FUNCTION_STATUS
0x20800175 1864    # NV2080_CTRL_CMD_GPU_GET_PARTITIONS
0x20800179 1008    # NV2080_CTRL_CMD_GPU_GET_ENGINE_RUNLIST_PRI_BASE
0x2080017A 672    # NV2080_CTRL_CMD_GPU_GET_HW_ENGINE_ID
0x2080017E 8    # NV2080_CTRL_CMD_GPU_GET_VMMU_SEGMENT_SIZE
0x20800181 280    # NV2080_CTRL_CMD_GPU_GET_PARTITION_CAPACITY
0x20800182 580    # NV2080_CTRL_CMD_GPU_GET_CACHED_INFO
0x20800185 5768    # NV2080_CTRL_CMD_GPU_DESCRIBE_PARTITIONS
0x20800188 8    # NV2080_CTRL_CMD_GPU_GET_MAX_SUPPORTED_PAGE_SIZE
0x2080018B 40    # NV2080_CTRL_CMD_GPU_GET_ACTIVE_PARTITION_IDS
